,sex,age,l,m,s,p5,p25,p50,p75,p95
1926,2,69,0.0798,5.337,0.12875,4.310607793245098,4.891606844046755,5.337,5.8194440811043275,6.5841750550006335
1927,2,70,0.0779,5.3618,0.12861,4.331841190112063,4.914839958519109,5.3618,5.845979065163891,6.613547681046614
1928,2,71,0.076,5.3863,0.12847,4.352842655385672,4.937802588338504,5.3863,5.872182167384725,6.64253818358103
1929,2,72,0.0741,5.4107,0.12834,4.373700567155439,4.9606443381816385,5.4107,5.898311023634971,6.671501403145573
1930,2,73,0.0722,5.4348,0.12821,4.3943255920157,4.983215174559988,5.4348,5.9241084863807,6.700083811346976
1931,2,74,0.0704,5.4587,0.12808,4.414788416606767,5.005604834054427,5.4587,5.949681424994994,6.728394205324142
1932,2,75,0.0685,5.4825,0.12795,4.435189773648661,5.027908733384298,5.4825,5.975143275291722,6.75658518283757
1933,2,76,0.0667,5.5061,0.12783,4.4553543410890954,5.049997099081734,5.5061,6.000420915990835,6.784614311368595
1934,2,77,0.0648,5.5295,0.1277,4.475450385912088,5.071942030761596,5.5295,6.025438512098414,6.812291495456825
1935,2,78,0.063,5.5527,0.12758,4.495308735276715,5.093671030046604,5.5527,6.050272336315549,6.839807965492545
1936,2,79,0.0612,5.5757,0.12747,4.514938398163774,5.115185513494226,5.5757,6.074925168170331,6.867180017911045
1937,2,80,0.0595,5.5986,0.12735,4.534560295363388,5.136644501163535,5.5986,6.099422415255146,6.894293460651483
1938,2,81,0.0577,5.6213,0.12724,4.553962808709074,5.157890516807621,5.6213,6.1237413166076635,6.921278460836567
1939,2,82,0.0559,5.6438,0.12713,4.573210959626826,5.178956295094612,5.6438,6.147838925616659,6.948008754026172
1940,2,83,0.0542,5.6662,0.12702,4.592375507156661,5.199931641217335,5.6662,6.171821957522529,6.974592531867625
1941,2,84,0.0525,5.6883,0.12691,4.61130439667431,5.220634887218037,5.6883,6.195474841593314,7.000798610736459
1942,2,85,0.0508,5.7104,0.12681,4.630163740242663,5.241305816707537,5.7104,6.219166135377687,7.0271106828722205
1943,2,86,0.049,5.7322,0.12671,4.648796874789205,5.261706221862266,5.7322,6.242529960830486,7.053061290176515
1944,2,87,0.0474,5.7539,0.1266,4.667412708117377,5.282049612757732,5.7539,6.26573527618641,7.078735985701206
1945,2,88,0.0457,5.7755,0.12651,4.685809284357339,5.302234450827938,5.7755,6.28891517642787,7.104526040033171
1946,2,89,0.044,5.7969,0.12641,4.7041277752861275,5.322274284745998,5.7969,6.311832255987363,7.129947492436767
1947,2,90,0.0424,5.8181,0.12631,4.722280228493428,5.342131353398793,5.8181,6.334526357505597,7.1551004649514605
1948,2,91,0.0407,5.8393,0.12622,4.740370874703877,5.361956867946386,5.8393,6.357262560694955,7.180378580060628
1949,2,92,0.0391,5.8602,0.12613,4.758213569926442,5.3815074665902625,5.8602,6.379667277330305,7.2052661966623
1950,2,93,0.0375,5.881,0.12604,4.7759809095034775,5.400968716772582,5.881,6.4019605648363695,7.2300245748948475
1951,2,94,0.0358,5.9017,0.12595,4.793683234965307,5.420342563320789,5.9017,6.424144749048175,7.254669166627444
1952,2,95,0.0342,5.9223,0.12586,4.811299737221879,5.43962506330976,5.9223,6.446215234697773,7.27916921474436
1953,2,96,0.0327,5.9427,0.12577,4.828749057271032,5.458724330342343,5.9427,6.468063183299856,7.303401748356328
1954,2,97,0.0311,5.9629,0.12569,4.845971711938057,5.477607222498786,5.9629,6.489736919835756,7.327517543056639
1955,2,98,0.0295,5.9831,0.12561,4.863199478199655,5.496492269416931,5.9831,6.511408468610179,7.351628073809808
1956,2,99,0.0279,6.0031,0.12553,4.880269761321348,5.515195725589397,6.0031,6.532860179389672,7.375487613551706
1957,2,100,0.0264,6.0229,0.12545,4.897171975022109,5.533715570571458,6.0229,6.554089743622199,7.3990805905726065
1958,2,101,0.0249,6.0426,0.12537,4.913997823625648,5.552145633697638,6.0426,6.575208335742507,7.422545475667141
