,sex,age,l,m,s,p5,p25,p50,p75,p95
108,1,108,0.1632,6.737,0.11476,5.561582284655213,6.232124085221043,6.737,7.2756586299260775,8.113496834389085
109,1,109,0.1626,6.7572,0.11463,5.579550813568521,6.251376810708149,6.7572,7.296854731419239,8.136219449284967
110,1,110,0.162,6.7772,0.1145,5.597361848500086,6.270447868402167,6.7772,7.317831164113291,8.158691602519367
111,1,111,0.1614,6.7971,0.11438,5.615002633350294,6.289386782807865,6.7971,7.338744841175268,8.18116439850834
112,1,112,0.1609,6.8168,0.11425,5.632570340167331,6.3081848716974385,6.8168,7.359388041793338,8.203242819222996
113,1,113,0.1603,6.8365,0.11413,5.650060078929949,6.326944949658478,6.8365,7.38007893874823,8.225457039413875
114,1,114,0.1597,6.8559,0.11401,5.667308759016749,6.345430407156208,6.8559,7.400442665959374,8.247301662897915
115,1,115,0.1591,6.8753,0.1139,5.684467889203823,6.363875405615111,6.8753,7.4208525504490295,8.269269784697606
116,1,116,0.1585,6.8945,0.11378,5.701564545505737,6.38218159290129,6.8945,7.44099398095848,8.290857106059327
117,1,117,0.158,6.9135,0.11367,5.71839520160148,6.400259981060609,6.9135,7.460963881377298,8.312314298572561
118,1,118,0.1574,6.9325,0.11356,5.73524238977454,6.4183429713291575,6.9325,7.480932985841208,8.33377776772332
119,1,119,0.1568,6.9513,0.11345,5.751930223909817,6.4362434723359785,6.9513,7.500683331508651,8.3549931627475
120,1,120,0.1563,6.9699,0.11334,5.768448179179115,6.453959525005389,6.9699,7.520212801750946,8.3759465945883
121,1,121,0.1557,6.9885,0.11324,5.784884565259726,6.471635951318839,6.9885,7.539791800140463,8.397040720309823
122,1,122,0.1551,7.0069,0.11313,5.801259100979198,6.489173847512121,7.0069,7.559102022026854,8.417753173851086
123,1,123,0.1546,7.0252,0.11303,5.817447797112258,6.506575401174875,7.0252,7.578349862914293,8.438458942952174
124,1,124,0.154,7.0434,0.11293,5.833569500057237,6.523888609169581,7.0434,7.5974894210130905,8.459051929273501
125,1,125,0.1535,7.0615,0.11283,5.8496032521861245,6.541109608545592,7.0615,7.616516379213766,8.479504089866923
126,1,126,0.1529,7.0794,0.11274,5.865387792761048,6.558104835141995,7.0794,7.63537815521824,8.499859490274773
127,1,127,0.1524,7.0972,0.11265,5.8810837379083925,6.5750075716246394,7.0972,7.654127638505047,8.52007486216853
128,1,128,0.1519,7.1149,0.11255,5.8968013160379655,6.5918647045513765,7.1149,7.672715857817509,8.540027690140153
129,1,129,0.1513,7.1325,0.11246,5.912351644252412,6.608588299033128,7.1325,7.691247209068027,8.560005062696767
130,1,130,0.1508,7.15,0.11237,5.927813227888569,6.6252193452817325,7.15,7.7096663193959465,8.579842517081422
131,1,131,0.1502,7.1674,0.11229,5.943106499975099,6.641716375369858,7.1674,7.728029106259935,8.599705977578195
132,1,132,0.1497,7.1846,0.1122,5.958328295383367,6.658073350655043,7.1846,7.74612045603145,8.619172319817658
133,1,133,0.1492,7.2018,0.11212,5.973453606010573,6.67438678847617,7.2018,7.764261404802517,8.638771262707236
134,1,134,0.1487,7.2188,0.11204,5.9884170653788225,6.69051663841567,7.2188,7.782184805372073,8.658125295312981
135,1,135,0.1481,7.2357,0.11196,6.00331213121665,6.706557497452563,7.2357,7.800000681366001,8.677368622633114
136,1,136,0.1476,7.2525,0.11188,6.018117653049533,6.72250546939518,7.2525,7.8177046689606255,8.696472910507005
137,1,137,0.1471,7.2692,0.1118,6.032844147162279,6.738362478015725,7.2692,7.835298974161548,8.71545238336115
138,1,138,0.1466,7.2858,0.11172,6.047491577500519,6.754128507697308,7.2858,7.85278361371781,8.734307083954224
139,1,139,0.1461,7.3023,0.11165,6.061957447864995,6.769757373400811,7.3023,7.870211110308839,8.753177268949894
140,1,140,0.1456,7.3187,0.11158,6.076343717479074,6.785295020899873,7.3187,7.887529210167278,8.771923395601206
141,1,141,0.1451,7.335,0.1115,6.090753276615885,6.800787813026081,7.335,7.904685186961078,8.790404658614067
142,1,142,0.1446,7.3512,0.11143,6.104980477983901,6.816143085557748,7.3512,7.921784420699219,8.808902468192572
143,1,143,0.1441,7.3673,0.11137,6.119024602909614,6.831360516896658,7.3673,7.938827275202635,8.827417795140304
144,1,144,0.1436,7.3833,0.1113,6.133092150641419,6.8465331543097,7.3833,7.955707933992856,8.845668058109062
145,1,145,0.1431,7.3992,0.11123,6.14707993821105,6.861614504889677,7.3992,7.97247926898808,8.863794447624416
146,1,146,0.1426,7.415,0.11117,6.160883882292782,6.876557671800507,7.415,7.989194610838178,8.881939381912206
147,1,147,0.1421,7.4307,0.11111,6.174607559996819,6.891409325754988,7.4307,8.005800883987881,8.899961121920338
148,1,148,0.1416,7.4463,0.11104,6.188355434683796,6.906216535810428,7.4463,8.022244559313318,8.917716712460805
149,1,149,0.1411,7.4618,0.11098,6.201918714281567,6.920885226303158,7.4618,8.038632620687645,8.935491857890433
150,1,150,0.1406,7.4772,0.11092,6.21540164306478,6.935462367720915,7.4772,8.054911651377273,8.953143904670808
151,1,151,0.1401,7.4925,0.11087,6.228699053381699,6.949900575417811,7.4925,8.07113553821234,8.970816763809369
152,1,152,0.1396,7.5077,0.11081,6.2420209840046414,6.964294487155968,7.5077,8.087196654342868,8.988223000978783
153,1,153,0.1391,7.5228,0.11075,6.2552624822112515,6.978596814971238,7.5228,8.103148776374615,9.00550623134808
154,1,154,0.1387,7.5379,0.1107,6.268390152504419,6.992850681001567,7.5379,8.119151596555602,9.022916476606403
