id,from_time,to_time,duration,created_at,updated_at
94,2021-05-27 12:53:00.000000,2021-05-27 13:17:00.000000,1440,2021-05-27 11:18:28.087920,
95,2021-05-27 14:08:00.000000,2021-05-27 14:25:00.000000,1020,2021-05-27 12:51:36.823778,
96,2021-05-27 17:55:00.000000,2021-05-27 18:13:00.000000,1080,2021-05-27 16:15:26.187009,
97,2021-05-27 18:18:00.000000,2021-05-27 18:31:00.000000,780,2021-05-27 16:31:57.462762,
98,2021-05-27 19:24:00.000000,2021-05-27 19:32:00.000000,480,2021-05-27 17:39:10.479607,
99,2021-05-27 19:39:00.000000,2021-05-27 19:55:00.000000,960,2021-05-27 18:36:30.906636,
100,2021-05-27 21:37:00.000000,,,2021-05-27 19:37:31.249577,
101,2021-05-28 02:35:00.000000,2021-05-28 03:05:00.000000,1800,2021-05-28 01:06:27.109847,
102,2021-05-28 06:44:00.000000,2021-05-28 07:04:00.000000,1200,2021-05-28 04:46:54.821258,2021-05-28 05:08:20.682184
103,2021-05-28 08:28:00.000000,2021-05-28 08:35:00.000000,420,2021-05-28 06:36:40.040392,
104,2021-05-28 10:50:00.000000,2021-05-28 11:00:00.000000,600,2021-05-28 09:03:26.692739,
105,2021-05-28 11:08:00.000000,2021-05-28 11:14:00.000000,360,2021-05-28 09:16:23.827839,
106,2021-05-28 11:17:00.000000,2021-05-28 11:22:00.000000,300,2021-05-28 09:26:54.606205,
107,2021-05-28 11:56:00.000000,2021-05-28 12:13:00.000000,1020,2021-05-28 10:17:05.164501,
108,2021-05-28 12:35:00.000000,2021-05-28 12:45:00.000000,600,2021-05-28 10:54:48.488796,
109,2021-05-28 13:38:00.000000,2021-05-28 13:49:00.000000,660,2021-05-28 11:49:53.095046,
110,2021-05-28 16:08:00.000000,2021-05-28 16:19:00.000000,660,2021-05-28 14:20:47.822724,
111,2021-05-28 16:21:00.000000,2021-05-28 16:33:00.000000,720,2021-05-28 14:33:49.195713,
112,2021-05-28 17:25:00.000000,2021-05-28 17:35:00.000000,600,2021-05-28 15:37:27.187893,
113,2021-05-28 18:48:00.000000,2021-05-28 18:53:00.000000,300,2021-05-28 17:07:49.436847,
114,2021-05-28 18:58:00.000000,2021-05-28 19:08:00.000000,600,2021-05-28 17:15:02.619017,
115,2021-05-28 18:58:00.000000,2021-05-28 19:08:00.000000,600,2021-05-28 17:15:08.494624,
116,2021-05-28 19:54:00.000000,2021-05-28 20:00:00.000000,360,2021-05-28 18:05:11.120040,
117,2021-05-28 00:42:00.000000,2021-05-28 01:12:00.000000,1800,2021-05-28 23:15:07.531394,
118,2021-05-29 04:32:00.000000,2021-05-29 04:42:00.000000,600,2021-05-29 02:43:06.508963,
119,2021-05-29 07:23:00.000000,2021-05-29 07:41:00.000000,1080,2021-05-29 05:43:44.241501,
120,2021-05-29 08:10:00.000000,2021-05-29 08:22:00.000000,720,2021-05-29 06:30:33.617157,
121,2021-05-29 08:30:00.000000,2021-05-29 08:34:00.000000,240,2021-05-29 06:37:33.387291,
122,2021-05-29 08:50:00.000000,2021-05-29 08:55:00.000000,300,2021-05-29 06:50:25.105453,2021-05-29 06:58:34.861936
123,2021-05-29 10:20:00.000000,2021-05-29 10:30:00.000000,600,2021-05-29 08:32:20.504673,
124,2021-05-29 10:38:00.000000,2021-05-29 10:47:00.000000,540,2021-05-29 08:50:13.157543,
125,2021-01-29 00:00:00.000000,,,2021-05-29 08:58:24.785162,
126,2021-05-29 10:47:00.000000,2021-05-29 11:01:00.000000,840,2021-05-29 09:03:41.849224,
127,2021-05-29 12:40:00.000000,2021-05-29 12:59:00.000000,1140,2021-05-29 11:26:31.056697,
128,2021-05-29 13:27:00.000000,2021-05-29 13:39:00.000000,720,2021-05-29 11:47:01.409566,
129,2021-05-29 13:46:00.000000,2021-05-29 13:50:00.000000,240,2021-05-29 12:00:07.253443,
130,2021-05-29 16:38:00.000000,2021-05-29 16:59:00.000000,1260,2021-05-29 15:12:20.104215,
131,2021-05-29 17:10:00.000000,2021-05-29 17:20:00.000000,600,2021-05-29 15:30:15.934347,
132,2021-05-29 17:30:00.000000,2021-05-29 17:42:00.000000,720,2021-05-29 15:46:09.938531,
133,2021-05-29 18:04:00.000000,2021-05-29 18:12:00.000000,480,2021-05-29 16:19:54.072283,
134,2021-05-29 18:48:00.000000,2021-05-29 18:55:00.000000,420,2021-05-29 17:01:19.594233,
135,2021-05-29 19:36:00.000000,2021-05-29 19:50:00.000000,840,2021-05-29 17:51:52.313118,
136,2021-05-29 22:44:00.000000,2021-05-29 23:09:00.000000,1500,2021-05-29 21:12:33.427327,
137,2021-05-29 23:20:00.000000,2021-05-29 23:40:00.000000,1200,2021-05-29 22:04:06.215093,
138,2021-05-30 02:54:00.000000,2021-05-30 03:15:00.000000,1260,2021-05-30 01:21:09.697088,
139,2021-05-30 03:25:00.000000,2021-05-30 03:32:00.000000,420,2021-05-30 01:39:08.224497,
140,2021-05-30 03:50:00.000000,2021-05-30 03:58:00.000000,480,2021-05-30 01:58:28.167573,
141,2021-05-30 07:41:00.000000,2021-05-30 07:59:00.000000,1080,2021-05-30 06:01:21.186029,
142,2021-05-30 08:37:00.000000,2021-05-30 08:47:00.000000,600,2021-05-30 07:06:14.522401,
143,2021-05-30 09:06:00.000000,2021-05-30 09:12:00.000000,360,2021-05-30 08:38:29.112150,
144,2021-05-30 09:54:00.000000,2021-05-30 10:00:00.000000,360,2021-05-30 08:38:48.542452,
145,2021-05-30 10:05:00.000000,2021-05-30 10:10:00.000000,300,2021-05-30 08:39:01.723611,
146,2021-05-30 10:37:00.000000,2021-05-30 10:42:00.000000,300,2021-05-30 08:49:58.560404,
147,2021-05-30 10:50:00.000000,2021-05-30 10:57:00.000000,420,2021-05-30 08:59:10.033938,
148,2021-05-30 11:05:00.000000,2021-05-30 11:10:00.000000,300,2021-05-30 09:14:08.952157,
149,2021-05-30 12:21:00.000000,2021-05-30 12:31:00.000000,600,2021-05-30 10:45:54.889775,
150,2021-05-30 12:44:00.000000,2021-05-30 12:55:00.000000,660,2021-05-30 11:03:28.568005,
151,2021-05-30 13:04:00.000000,2021-05-30 13:10:00.000000,360,2021-05-30 11:13:49.224373,
